1,-47,-1482,-661,96,29,7
1,600,-853,-642,94,25,25
1,1255,-328,-665,89,24,44
1,1813,240,-437,77,17,60
1,84,600,-228,60,10,70
1,-860,1258,-249,46,3,77
1,-419,890,-174,36,5,76
1,-1318,1460,-553,28,4,71
1,-1168,1947,-825,24,6,57
1,-766,809,-358,23,7,42
1,-972,511,-618,24,4,27
1,-1368,222,-856,29,5,13
1,270,350,-309,38,8,-1
1,-349,-283,-239,48,14,-10
1,-800,-612,-112,60,18,-12
1,918,-269,-234,79,30,-7
1,-12,-1036,-265,91,35,1
1,744,271,-297,100,37,13
1,239,-847,-331,100,32,21
1,502,-139,-449,98,29,32
1,-37,-40,-187,91,23,44
1,735,-227,-200,84,23,50
1,351,145,-109,73,18,56
1,435,443,-361,56,17,59
1,-999,753,-196,43,10,60
1,-950,1049,-294,33,10,59
1,-1219,966,-407,27,12,51
1,-719,1040,-159,24,13,41
1,-945,376,-190,26,13,28
1,-1091,532,-401,27,14,17
1,-1680,-307,-352,34,15,4
1,79,17,-436,43,27,-5
1,-830,133,-62,51,25,-12
1,542,-437,-130,64,37,-16
1,-1196,-782,-96,79,41,-13
1,528,-650,-360,96,50,-1
1,46,-532,-329,104,47,7
1,618,-610,-492,108,43,18
1,445,-600,-398,107,37,29
1,836,-315,-369,102,33,41
1,928,533,-313,93,28,53
1,722,-245,-190,78,22,56
1,182,451,-507,58,16,61
1,-1056,1509,-663,43,10,64
1,-561,674,-130,37,10,56
1,-972,1176,-215,33,10,43
1,-609,364,-228,33,10,29
1,-1733,1134,-443,34,9,20
1,-655,613,-418,40,13,5
1,-257,-100,-248,49,19,-7
1,-895,-522,-228,62,27,-14
1,-620,-867,-215,81,39,-13
1,163,-897,-284,100,49,-4
1,292,-717,-200,110,48,5
1,683,-1155,-682,114,45,16
1,16,-85,-475,111,37,34
1,910,-197,-234,106,32,47
1,498,64,-278,95,29,57
1,647,-93,-108,80,24,62
1,-277,647,-194,62,20,68
1,511,1486,-469,45,21,69
1,-1528,1141,-852,36,18,58
1,-1223,1796,-417,34,15,37
1,-2711,-561,-674,40,16,16
1,-956,-371,-89,52,30,0
1,-1388,-767,-100,70,39,-6
1,766,-1041,-121,92,53,-3
1,-155,-390,-250,105,54,4
1,772,-2931,-747,113,52,12
1,460,-2022,-1445,112,44,34
1,-1116,1180,-267,97,30,65
1,2101,28,-349,97,31,69
1,710,672,-572,79,29,74
1,-426,20,-141,60,25,74
